"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","428","Заказ создаётся с вариантом цвета: without_colour","tests","2026-08-13","passed","2026-08-13","TestCreateOrder","test_create_order","",""
"","16558","В теле ответа возвращается список заказов","tests","2026-08-13","passed","2026-08-13","TestOrderList","test_order_list","",""
"","480","Нельзя авторизоваться без обязательного поля: login","tests","2026-08-13","passed","2026-08-13","TestCourierLogin","test_courier_login","",""
"","520","Нельзя авторизоваться под несуществующим курьером","tests","2026-08-13","passed","2026-08-13","TestCourierLogin","test_courier_login","",""
"","415","Заказ создаётся с вариантом цвета: grey","tests","2026-08-13","passed","2026-08-13","TestCreateOrder","test_create_order","",""
"","1243","Нельзя создать двух курьеров с одинаковым логином","tests","2026-08-13","passed","2026-08-13","TestCreateCourier","test_create_courier","",""
"","570","Нельзя создать курьера без обязательного поля: password","tests","2026-08-13","passed","2026-08-13","TestCreateCourier","test_create_courier","",""
"","935","Курьера можно создать: код 201 и тело ok=true","tests","2026-08-13","passed","2026-08-13","TestCreateCourier","test_create_courier","",""
"","12814","Элементы списка заказов содержат трек-номер","tests","2026-08-13","passed","2026-08-13","TestOrderList","test_order_list","",""
"","11572","Заказ создаётся с вариантом цвета: black","tests","2026-08-13","passed","2026-08-13","TestCreateOrder","test_create_order","",""
"","423","Нельзя авторизоваться с неверным логином","tests","2026-08-13","passed","2026-08-13","TestCourierLogin","test_courier_login","",""
"","375","Заказ создаётся с вариантом цвета: black_and_grey","tests","2026-08-13","passed","2026-08-13","TestCreateOrder","test_create_order","",""
"","828","Нельзя создать курьера без обязательного поля: login","tests","2026-08-13","passed","2026-08-13","TestCreateCourier","test_create_courier","",""
"","336","Курьер может авторизоваться, успешный ответ содержит id","tests","2026-08-13","passed","2026-08-13","TestCourierLogin","test_courier_login","",""
"","552","Нельзя авторизоваться с неверным паролем","tests","2026-08-13","passed","2026-08-13","TestCourierLogin","test_courier_login","",""
